Station ID,Address,Charger Type,Station Operator,Cost (USD/kWh),Distance to City (km),Usage Stats (avg users/day),Charging Capacity (kW),Reviews (Rating),Renewable Energy Source,PRIME_UtilityScore_100,PRIME_RiskScore_100,PRIME_DeploymentImpact_100,NetworkRank
EVS00001,"4826 Random Rd, City 98, Country",AC Level 2,EVgo,0.27,4.95,35,350,4.0,Yes,56.48071032781708,42.134615384615266,55.00000000000001,1045
EVS00002,"8970 San Francisco Ave, San Francisco",DC Fast Charger,EVgo,0.19,4.96,83,350,3.9,Yes,76.45722174570653,30.201282051282053,74.34444444444442,128
EVS00003,"5974 Bangkok Ave, Bangkok",AC Level 2,ChargePoint,0.48,8.54,24,50,3.6,No,31.432087839358292,60.99899937460906,42.22276422764229,3827
EVS00004,"6995 Toronto Ave, Toronto",AC Level 1,Greenlots,0.41,13.28,70,350,4.2,Yes,65.84956815228976,56.83461538461538,75.06666666666668,472
EVS00005,"5704 Mumbai Ave, Mumbai",AC Level 2,EVgo,0.11,9.76,19,350,3.7,Yes,43.66843713262843,40.89871794871794,43.25555555555556,2341
EVS00006,"1545 São Paulo Ave, São Paulo",AC Level 2,Ionity,0.22,2.02,39,350,3.2,Yes,57.95061124772273,40.00769230769221,53.75555555555556,933
EVS00007,"1390 Moscow Ave, Moscow",AC Level 1,ChargePoint,0.4,2.68,89,350,4.0,Yes,75.02524147017449,40.74358974358965,80.46666666666667,156
EVS00008,"7684 Bangkok Ave, Bangkok",AC Level 2,Ionity,0.26,3.63,72,350,4.3,Yes,81.3665943141134,30.82564102564091,79.05555555555554,70
EVS00009,"6203 Chicago Ave, Chicago",AC Level 2,Greenlots,0.49,6.68,68,350,3.4,No,37.93206529749628,67.75256410256398,51.733333333333334,3044
EVS00010,"4339 Beijing Ave, Beijing",AC Level 2,Tesla,0.37,19.13,82,150,4.4,No,43.93284079931933,62.680956848030014,54.215176151761526,2310
EVS00011,"7123 Random Rd, City 463, Country",AC Level 1,EVgo,0.39,17.42,59,22,3.7,No,12.777203704802584,74.15512820512808,33.16666666666667,4894
EVS00012,"3932 Moscow Ave, Moscow",AC Level 1,Greenlots,0.17,1.88,18,150,4.0,Yes,56.16785401970821,23.231863664790396,48.58915989159892,1066
EVS00013,"9250 Berlin Ave, Berlin",AC Level 1,ChargePoint,0.16,11.77,73,22,4.0,No,18.320287808700748,49.67948717948715,31.311111111111117,4733
EVS00014,"9047 Chicago Ave, Chicago",AC Level 2,Tesla,0.16,3.21,66,50,3.5,Yes,50.6167991758969,33.75797373358346,49.65609756097561,1560
EVS00015,"3451 Dubai Ave, Dubai",AC Level 2,EVgo,0.41,16.7,46,350,3.4,Yes,48.972628070774114,71.26538461538449,60.0,1726
EVS00016,"3518 Dubai Ave, Dubai",AC Level 2,EVgo,0.34,15.84,89,22,3.9,No,16.606698050124805,68.88717948717947,37.677777777777784,4794
EVS00017,"3181 Bangkok Ave, Bangkok",AC Level 1,Ionity,0.17,13.18,28,350,4.0,No,34.572111544674904,51.42948717948719,36.82222222222222,3449
EVS00018,"4733 San Francisco Ave, San Francisco",AC Level 1,ChargePoint,0.44,2.05,60,150,4.9,No,57.29907099975302,37.866854283927445,60.91517615176152,983
EVS00019,"9257 Seoul Ave, Seoul",AC Level 1,Tesla,0.25,7.35,29,350,4.1,No,36.87827615597537,49.27307692307688,36.94444444444444,3178
EVS00020,"7288 Mexico City Ave, Mexico City",DC Fast Charger,Tesla,0.25,0.73,12,350,3.2,Yes,35.25610634392482,42.41153846153846,34.91111111111111,3379
EVS00021,"6470 Random Rd, City 207, Country",DC Fast Charger,Ionity,0.3,10.43,43,150,3.3,Yes,58.6342997555486,46.07673545966219,62.578048780487805,889
EVS00022,"9338 Moscow Ave, Moscow",AC Level 2,Tesla,0.1,5.45,47,350,4.7,No,61.81608522493377,26.03333333333331,54.07777777777778,685
EVS00023,"1194 Cape Town Ave, Cape Town",AC Level 2,Greenlots,0.43,15.05,14,350,4.2,Yes,36.64709323229651,66.0910256410256,48.53333333333333,3204
EVS00024,"128 Berlin Ave, Berlin",DC Fast Charger,Tesla,0.21,9.92,52,22,4.4,Yes,43.55993116922366,32.72692307692307,45.04444444444445,2363
EVS00025,"1788 Chicago Ave, Chicago",AC Level 1,ChargePoint,0.5,4.71,67,50,4.7,No,31.031978166517476,54.086178861788504,45.78943089430895,3869
EVS00026,"6257 Beijing Ave, Beijing",DC Fast Charger,Greenlots,0.47,8.3,99,50,4.1,No,17.05726901232702,69.47976860537834,33.50054200542005,4778
EVS00027,"5641 Bangkok Ave, Bangkok",DC Fast Charger,ChargePoint,0.5,17.76,25,150,4.1,No,32.03481000070072,71.73570981863664,45.24471544715447,3765
EVS00028,"1145 São Paulo Ave, São Paulo",AC Level 1,Tesla,0.25,13.65,52,50,4.7,No,36.0636095220287,46.9900250156347,42.011653116531164,3284
EVS00029,"3343 Sydney Ave, Sydney",AC Level 1,Ionity,0.45,8.36,72,22,4.8,No,26.26409116796644,57.767948717948684,44.733333333333334,4287
EVS00030,"7835 Beijing Ave, Beijing",DC Fast Charger,EVgo,0.2,5.52,27,50,3.0,No,32.375996679045116,44.33489681050644,33.4449864498645,3725
EVS00031,"8491 Random Rd, City 59, Country",AC Level 2,Tesla,0.17,9.13,36,22,3.6,Yes,42.41845323624221,35.170512820512826,43.48888888888889,2496
EVS00032,"3787 Beijing Ave, Beijing",AC Level 2,Tesla,0.19,18.44,90,150,4.1,Yes,53.813214154022766,46.4835209505941,59.53739837398374,1250
EVS00033,"5423 São Paulo Ave, São Paulo",DC Fast Charger,Tesla,0.46,18.39,97,350,3.7,No,59.11836227124118,71.05897435897437,75.96666666666665,862
EVS00034,"8032 Beijing Ave, Beijing",AC Level 1,EVgo,0.21,0.84,59,150,3.7,Yes,70.56914661143486,24.621982489055664,64.78184281842819,266
EVS00035,"9647 Chicago Ave, Chicago",AC Level 2,Ionity,0.22,9.7,16,50,4.4,Yes,51.509021417850185,29.552282676672903,49.428184281842825,1468
EVS00036,"1648 Toronto Ave, Toronto",AC Level 2,Greenlots,0.39,10.84,21,22,4.7,Yes,44.029003527966935,43.770512820512785,50.74444444444445,2296
EVS00037,"880 Bangkok Ave, Bangkok",AC Level 1,Greenlots,0.29,1.28,50,350,4.3,No,51.020920620013804,39.57564102564093,48.43333333333333,1517
EVS00038,"8960 Sydney Ave, Sydney",AC Level 1,Ionity,0.13,19.06,61,22,4.2,Yes,31.26114423671236,43.66794871794872,45.46666666666667,3847
EVS00039,"2131 Beijing Ave, Beijing",DC Fast Charger,Ionity,0.37,15.63,69,350,4.2,Yes,66.64946133654817,52.01410256410256,70.08888888888889,427
EVS00040,"6005 Cape Town Ave, Cape Town",AC Level 2,Tesla,0.41,14.62,15,50,4.9,No,32.10865543205864,53.930487804878005,41.28373983739838,3751
EVS00041,"1309 Random Rd, City 47, Country",AC Level 1,EVgo,0.44,2.03,20,350,5.0,No,31.59622011915751,51.25641025641019,39.55555555555556,3813
EVS00042,"2960 Chicago Ave, Chicago",DC Fast Charger,Tesla,0.39,19.63,14,50,4.8,No,33.30148803460347,55.68946216385241,42.272628726287266,3619
EVS00043,"1916 Dubai Ave, Dubai",AC Level 1,Greenlots,0.27,5.06,73,50,4.3,Yes,51.25565342733218,38.34643527204499,53.83387533875339,1487
EVS00044,"5156 Seoul Ave, Seoul",AC Level 1,ChargePoint,0.36,2.38,96,50,3.8,No,26.386195215696123,54.30156347717316,33.756097560975604,4276
EVS00045,"7799 Sydney Ave, Sydney",AC Level 2,Ionity,0.4,19.67,78,22,4.4,Yes,24.007295157418174,65.73333333333333,45.00000000000001,4455
EVS00046,"8397 Chicago Ave, Chicago",DC Fast Charger,EVgo,0.22,2.58,12,50,3.6,No,37.12208456558899,33.36766729205752,32.80596205962059,3153
EVS00047,"2970 Mumbai Ave, Mumbai",AC Level 1,Ionity,0.35,19.4,68,50,3.0,Yes,32.453756234959094,70.1361788617885,46.06720867208672,3717
EVS00048,"4355 Sydney Ave, Sydney",DC Fast Charger,ChargePoint,0.13,2.31,56,150,3.5,No,54.5984863998851,27.268136335209448,47.959620596205966,1185
EVS00049,"689 Chicago Ave, Chicago",AC Level 1,ChargePoint,0.18,19.26,40,150,3.8,Yes,51.076735780657465,46.32032520325195,62.25582655826558,1509
EVS00050,"8531 Los Angeles Ave, Los Angeles",AC Level 2,ChargePoint,0.47,2.49,26,150,4.3,Yes,56.0936770541639,39.78827392120074,59.40027100271003,1070
EVS00051,"7905 Random Rd, City 102, Country",AC Level 1,EVgo,0.45,2.29,75,50,5.0,No,41.631462681209236,45.482332707942405,49.75609756097562,2593
EVS00052,"8806 Berlin Ave, Berlin",AC Level 2,ChargePoint,0.33,8.56,50,50,3.4,No,25.302190187348316,58.98489681050649,33.00054200542006,4355
EVS00053,"4130 Moscow Ave, Moscow",AC Level 2,Greenlots,0.49,3.09,79,22,3.8,No,9.275941780404034,64.17820512820511,31.866666666666667,4953
EVS00054,"6541 Chicago Ave, Chicago",DC Fast Charger,Ionity,0.37,1.98,79,50,4.7,Yes,48.888680884630816,37.759255784865445,51.92276422764228,1733
EVS00055,"4005 Seoul Ave, Seoul",AC Level 1,Tesla,0.13,9.16,19,150,3.5,Yes,47.73611388389861,35.05237648530319,45.62249322493225,1863
EVS00056,"5574 Mumbai Ave, Mumbai",AC Level 2,ChargePoint,0.18,11.91,50,150,4.2,Yes,62.48245177530757,32.487367104440146,63.12628726287263,654
EVS00057,"6085 Dubai Ave, Dubai",DC Fast Charger,Greenlots,0.42,15.85,67,50,4.5,No,32.83426754821776,65.32207629768607,45.50054200542006,3675
EVS00058,"4787 Seoul Ave, Seoul",AC Level 1,EVgo,0.41,13.14,71,150,4.0,Yes,52.20165643899462,56.99890556597869,60.792953929539294,1391
EVS00059,"4378 Chicago Ave, Chicago",DC Fast Charger,EVgo,0.18,6.73,13,350,3.5,No,28.991936790143615,49.37179487179481,31.988888888888887,4072
EVS00060,"16 Chicago Ave, Chicago",AC Level 2,Tesla,0.3,6.78,26,22,3.1,Yes,33.68652569435889,47.81794871794872,39.32222222222222,3569
EVS00061,"5140 Random Rd, City 50, Country",DC Fast Charger,Ionity,0.33,14.4,75,22,4.6,No,22.133439634168006,57.65769230769229,37.64444444444444,4578
EVS00062,"7833 Cape Town Ave, Cape Town",DC Fast Charger,Greenlots,0.23,0.68,68,50,4.9,Yes,64.97766664184665,19.266948092557847,58.25609756097562,514
EVS00063,"2876 Chicago Ave, Chicago",DC Fast Charger,Greenlots,0.28,0.96,49,350,3.8,No,55.07959844696248,42.31282051282052,53.288888888888884,1143
EVS00064,"5576 Toronto Ave, Toronto",AC Level 2,Ionity,0.36,5.16,31,22,3.3,Yes,36.11330308542487,46.1974358974359,40.49999999999999,3274
EVS00065,"335 Dubai Ave, Dubai",DC Fast Charger,Greenlots,0.27,6.58,67,350,4.8,No,68.64975738795106,36.383333333333255,67.66666666666666,335
EVS00066,"9172 Sydney Ave, Sydney",DC Fast Charger,EVgo,0.32,13.68,31,350,3.6,Yes,39.95524681616517,61.34358974358962,45.622222222222234,2794
EVS00067,"5052 Seoul Ave, Seoul",AC Level 2,Greenlots,0.45,8.37,20,150,3.0,Yes,34.621261592454985,59.68058161350841,40.43360433604336,3445
EVS00068,"6966 Beijing Ave, Beijing",DC Fast Charger,Tesla,0.36,11.72,43,350,4.5,No,42.8964093766677,57.96153846153844,48.322222222222216,2434
EVS00069,"1979 Dubai Ave, Dubai",DC Fast Charger,Ionity,0.14,4.71,13,50,3.9,Yes,57.10202190653429,21.770231394621543,50.99485094850949,1002
EVS00070,"436 Los Angeles Ave, Los Angeles",DC Fast Charger,ChargePoint,0.41,8.75,31,150,4.4,No,48.65024727833194,49.734427767354575,53.87804878048781,1769
EVS00071,"6980 Random Rd, City 205, Country",AC Level 2,Greenlots,0.44,11.03,19,50,4.0,Yes,42.553909026609915,50.527204502814214,48.578319783197834,2484
EVS00072,"9085 Cape Town Ave, Cape Town",AC Level 1,Tesla,0.46,4.17,37,22,4.9,Yes,46.038584018623936,38.258974358974335,53.65555555555556,2042
EVS00073,"1856 Los Angeles Ave, Los Angeles",AC Level 2,Ionity,0.34,2.35,99,22,4.4,No,17.41205948930222,50.297435897435804,32.95555555555556,4770
EVS00074,"493 Beijing Ave, Beijing",AC Level 1,Ionity,0.23,14.31,80,350,4.7,No,71.95070161521622,42.41153846153847,77.23333333333332,228
EVS00075,"9969 Beijing Ave, Beijing",DC Fast Charger,Greenlots,0.45,11.68,46,22,4.6,Yes,34.13610693547631,52.4910256410256,45.599999999999994,3510
EVS00076,"3924 São Paulo Ave, São Paulo",AC Level 2,Tesla,0.16,12.25,12,50,3.1,Yes,46.2015195420874,37.99587242026261,44.86151761517615,2025
EVS00077,"8503 Bangkok Ave, Bangkok",DC Fast Charger,Greenlots,0.46,13.81,15,22,5.0,Yes,53.54993031350025,44.8974358974359,59.77777777777777,1274
EVS00078,"8542 Sydney Ave, Sydney",AC Level 2,ChargePoint,0.34,8.41,100,350,3.1,Yes,75.12770124989153,47.54871794871791,81.14444444444443,155
EVS00079,"3381 Mumbai Ave, Mumbai",DC Fast Charger,ChargePoint,0.27,10.44,75,350,4.6,Yes,78.00499674658188,33.64487179487174,74.97777777777776,101
EVS00080,"1935 Los Angeles Ave, Los Angeles",AC Level 2,EVgo,0.45,19.25,99,150,3.7,Yes,45.71550408880388,71.73736710444017,57.448509485094846,2082
EVS00081,"7612 Random Rd, City 96, Country",AC Level 2,EVgo,0.35,5.63,91,350,4.1,No,75.40353185119274,41.92692307692308,78.89999999999998,147
EVS00082,"9806 Mexico City Ave, Mexico City",DC Fast Charger,EVgo,0.32,16.79,31,50,3.5,Yes,41.20363919579439,53.10412757973734,45.6560975609756,2647
EVS00083,"4122 Cape Town Ave, Cape Town",AC Level 2,Ionity,0.36,16.47,32,350,3.8,Yes,44.34778285223694,65.56923076923069,53.11111111111111,2245
EVS00084,"6532 Moscow Ave, Moscow",AC Level 2,ChargePoint,0.28,13.67,82,150,3.8,Yes,49.55404553790242,52.33095684803002,55.57073170731708,1664
EVS00085,"6285 Chicago Ave, Chicago",AC Level 2,Tesla,0.13,8.18,40,50,4.9,Yes,63.5210624145154,20.946435272044994,60.61165311653117,595
EVS00086,"1381 Beijing Ave, Beijing",AC Level 2,Tesla,0.49,16.11,99,50,4.6,Yes,35.16979907304285,71.03105065666033,54.77831978319783,3385
EVS00087,"6829 Chicago Ave, Chicago",AC Level 2,EVgo,0.2,3.17,91,50,4.5,No,45.26412377669376,36.18105065666033,46.65609756097561,2135
EVS00088,"760 Cape Town Ave, Cape Town",DC Fast Charger,Ionity,0.37,19.09,68,350,4.4,No,54.23302417258216,62.20128205128198,64.28888888888889,1215
EVS00089,"7708 Toronto Ave, Toronto",AC Level 1,ChargePoint,0.16,3.08,99,50,3.7,No,34.182180868050374,41.98361475922452,36.25609756097561,3502
EVS00090,"4669 Moscow Ave, Moscow",AC Level 2,EVgo,0.47,14.45,11,150,4.2,Yes,33.05202854398916,61.21391494684166,44.03360433604336,3653
EVS00091,"9222 Random Rd, City 384, Country",AC Level 1,Ionity,0.19,11.59,98,150,4.3,Yes,66.80144156583171,39.15787992495308,68.35962059620596,420
EVS00092,"7476 San Francisco Ave, San Francisco",AC Level 1,EVgo,0.39,13.83,58,350,3.7,Yes,55.610040901557085,59.46282051282053,60.72222222222222,1102
EVS00093,"6288 Berlin Ave, Berlin",AC Level 1,Greenlots,0.11,6.63,18,350,4.9,Yes,60.15153757702766,23.56025641025635,53.34444444444445,787
EVS00094,"9796 Berlin Ave, Berlin",AC Level 2,Tesla,0.3,5.57,79,50,3.5,Yes,43.562713442336246,47.14258911819888,46.856097560975606,2362
EVS00095,"2173 Bangkok Ave, Bangkok",AC Level 1,Greenlots,0.3,10.97,67,22,3.9,No,20.629822082244964,55.592307692307585,31.988888888888887,4642
EVS00096,"3633 São Paulo Ave, São Paulo",AC Level 1,ChargePoint,0.11,18.49,85,50,4.9,Yes,41.28849385475671,39.39515322076291,50.8338753387534,2635
EVS00097,"8984 Los Angeles Ave, Los Angeles",AC Level 2,Tesla,0.44,9.05,25,22,4.5,Yes,44.19304151101177,44.6153846153846,50.27777777777778,2270
