Method,NDCG@10,AP@10,TopKAgreement@10,MAP@10,Recall@10,HitRate@10,TopKOverlap@10,Regret@10,NDCG@25,AP@25,TopKAgreement@25,MAP@25,Recall@25,HitRate@25,TopKOverlap@25,Regret@25,NDCG@50,AP@50,TopKAgreement@50,MAP@50,Recall@50,HitRate@50,TopKOverlap@50,Regret@50,NDCG@100,AP@100,TopKAgreement@100,MAP@100,Recall@100,HitRate@100,TopKOverlap@100,Regret@100,NDCG_full,NDCG@10pct,P@10pct,Spearman,KendallTau,PairwiseAccuracy
PRIME-EV,0.6009417720313739,0.0,0.0,0.0,0.0,0.0,0.0,0.3084444344043732,0.5940061462425447,0.008,0.04,0.008,0.04,1.0,0.04,0.3534222185611725,0.6049924657411746,0.025222222222222222,0.08,0.025222222222222222,0.08,1.0,0.08,0.3388444438576699,0.5907256805305612,0.029868684551987636,0.12,0.029868684551987636,0.12,1.0,0.12,0.3464333321526646,0.9219038803141638,0.5897192995332418,0.1188118811881188,0.029895713352736983,0.02042792028327919,0.5045
AHP_WeightedSum,0.5213507022226754,0.0,0.0,0.0,0.0,0.0,0.0,0.479888878762722,0.5208715872257913,0.0,0.0,0.0,0.0,0.0,0.0,0.45635555207729345,0.5664347873050647,0.006464642308536317,0.08,0.006464642308536317,0.08,1.0,0.08,0.3806666652858257,0.5863692569445822,0.02772602048660525,0.15,0.02772602048660525,0.15,1.0,0.15,0.3437999992072581,0.9206372939832086,0.5874065937843277,0.1485148514851485,0.009228927173914296,0.005872752700370289,0.5004166666666666
TOPSIS,0.503611021604819,0.0,0.0,0.0,0.0,0.0,0.0,0.48599999099969865,0.5163330768829781,0.0,0.0,0.0,0.0,0.0,0.0,0.4495555514097214,0.5507803473212608,0.0049858836815358555,0.06,0.0049858836815358555,0.06,1.0,0.06,0.392622219324112,0.5772377064150053,0.025856114745877477,0.15,0.025856114745877477,0.15,1.0,0.15,0.35034444265067577,0.9195678691406116,0.580223235367126,0.15841584158415842,0.0042457734945286155,0.0025562338461346725,0.49675
VIKOR,0.5722909962279509,0.0,0.0,0.0,0.0,0.0,0.0,0.4025555521249772,0.541819469681756,0.0,0.0,0.0,0.0,0.0,0.0,0.4289777743816376,0.5480674013954823,0.006871794871794872,0.06,0.006871794871794872,0.06,1.0,0.06,0.40799999743700033,0.603300473499996,0.03638644322552047,0.17,0.03638644322552047,0.17,1.0,0.17,0.32595555439591406,0.9222505761389737,0.6050127459830328,0.16831683168316833,0.020788294218666528,0.01324412493114428,0.5066666666666667
MultiObjective_WeightedSum,0.544304055330737,0.0,0.0,0.0,0.0,0.0,0.0,0.4479999914765358,0.5596526302648895,0.0,0.0,0.0,0.0,0.0,0.0,0.4072888863086701,0.5501336722643424,0.00662331455879843,0.08,0.00662331455879843,0.08,1.0,0.08,0.4088666655123234,0.5790846588812679,0.023980053145054137,0.13,0.023980053145054137,0.13,1.0,0.13,0.3561111100018024,0.9211960430219706,0.5811134399048773,0.12871287128712872,0.010462979597814967,0.00602041960483084,0.4994166666666667
Pareto_Balanced,0.5166112926215316,0.0,0.0,0.0,0.0,0.0,0.0,0.48711109906435013,0.5432890199423057,0.0,0.0,0.0,0.0,0.0,0.0,0.4275555485486985,0.55461077112716,0.00043478260869565214,0.02,0.00043478260869565214,0.02,1.0,0.02,0.39811110883951195,0.5730298986080649,0.017983455104570396,0.09,0.017983455104570396,0.09,1.0,0.09,0.36134444192051884,0.920068628755172,0.5732973842718158,0.09900990099009901,0.012459859128842492,0.009588439267380856,0.50225
Random,0.41042778318620465,0.0,0.0,0.0,0.0,0.0,0.0,0.5077777609229088,0.4789509633701509,0.0,0.0,0.0,0.0,0.0,0.0,0.43759999096393587,0.5365588350945044,0.005822790113112695,0.08,0.005822790113112695,0.08,1.0,0.08,0.3741555526852608,0.5687321721542209,0.01719458157689087,0.11,0.01719458157689087,0.11,1.0,0.11,0.3395666655898094,0.9134883967281697,0.5716729766090367,0.1188118811881188,-0.004357464510194231,-0.003478154249658653,0.4975
GradientBoostedRanker,0.43080365758449973,0.0125,0.1,0.0125,0.1,1.0,0.1,0.5156666591763497,0.4364110026158334,0.005,0.04,0.005,0.04,1.0,0.04,0.5075111041963101,0.4976263008968771,0.005,0.04,0.005,0.04,1.0,0.04,0.4239333312958479,0.5432447915259544,0.009696749924294583,0.09,0.009696749924294583,0.09,1.0,0.09,0.3656888872757553,0.9132569278923878,0.5448272844160282,0.0891089108910891,0.013354608586524428,0.009490988097726083,0.511
RandomForestRanker,0.4959681976542819,0.014285714285714285,0.1,0.014285714285714285,0.1,1.0,0.1,0.46677776873111726,0.5058568517971529,0.005714285714285714,0.04,0.005714285714285714,0.04,1.0,0.04,0.446799994558096,0.5209722397053913,0.0044571428571428574,0.04,0.0044571428571428574,0.04,1.0,0.04,0.4188222197443247,0.5567028612204891,0.009098745449264782,0.1,0.009098745449264782,0.1,1.0,0.1,0.363022217862308,0.9157454832248837,0.5601344053807855,0.10891089108910891,0.020782103409980622,0.014201964311428932,0.5145
RidgeRanker,0.6283059549513889,0.0,0.0,0.0,0.0,0.0,0.0,0.34499998986721037,0.5911691935181639,0.0,0.0,0.0,0.0,0.0,0.0,0.3895999938249588,0.575222287990519,0.013761904761904762,0.08,0.013761904761904762,0.08,1.0,0.08,0.39397777613252405,0.5941316123285929,0.010586595841635037,0.08,0.010586595841635037,0.08,1.0,0.08,0.3494666649959981,0.9225684484438826,0.5960823819464771,0.07920792079207921,-0.03158502878186024,-0.02085495700698943,0.494
ShallowTreeRanker,0.5399149955286865,0.0,0.0,0.0,0.0,0.0,0.0,0.4432222090661526,0.5247924949799323,0.003076923076923077,0.04,0.003076923076923077,0.04,1.0,0.04,0.4511555474996567,0.5327084742148366,0.0015384615384615385,0.02,0.0015384615384615385,0.02,1.0,0.02,0.42253332927823073,0.5681827736641631,0.002779278513024643,0.05,0.002779278513024643,0.05,1.0,0.05,0.36241110801696774,0.9180248136333296,0.5673832308609779,0.04950495049504951,-0.011138999252198464,-0.007504629922525278,0.49325
TwoStage_RiskUsage,0.5876157024598382,0.0,0.0,0.0,0.0,0.0,0.0,0.4151111036539078,0.49259939334541886,0.0,0.0,0.0,0.0,0.0,0.0,0.512266661375761,0.5128888709124771,0.0005405405405405405,0.02,0.0005405405405405405,0.02,1.0,0.02,0.4514444410055876,0.5673748037900456,0.00859052825372531,0.11,0.00859052825372531,0.11,1.0,0.11,0.36317777518182986,0.9182549588160314,0.5694873024278252,0.10891089108910891,0.006371654255242176,0.004539759562807478,0.5046666666666667
