NominalCoverage,GroupType,Group,N,ObservedCoverage,CoverageError,MeanWidth
0.5,Operator,EVgo,1002,0.4940119760479042,-0.0059880239520958,0.4910401213921592
0.5,SigmaQuartile,Q1,251,0.2589641434262948,-0.2410358565737052,0.31455763346289256
0.5,SigmaQuartile,Q2,250,0.492,-0.008000000000000007,0.4305225396156311
0.5,SigmaQuartile,Q3,251,0.5338645418326693,0.03386454183266929,0.5284875317873707
0.5,SigmaQuartile,Q4,250,0.692,0.19199999999999995,0.6911489210128784
0.8,Operator,EVgo,1002,0.7984031936127745,-0.001596806387225591,0.7834524009637014
0.8,SigmaQuartile,Q1,251,0.5537848605577689,-0.24621513944223117,0.5366318764914555
0.8,SigmaQuartile,Q2,250,0.78,-0.020000000000000018,0.7412396380901337
0.8,SigmaQuartile,Q3,251,0.8804780876494024,0.08047808764940234,0.8815551884620788
0.8,SigmaQuartile,Q4,250,0.98,0.17999999999999994,0.9749777717590332
0.9,Operator,EVgo,1002,0.908183632734531,0.008183632734530932,0.8975997270343309
0.9,SigmaQuartile,Q1,251,0.6932270916334662,-0.20677290836653384,0.6871971668475177
0.9,SigmaQuartile,Q2,250,0.944,0.04399999999999993,0.913458251953125
0.9,SigmaQuartile,Q3,251,0.9960159362549801,0.09601593625498006,0.9902146399258618
0.9,SigmaQuartile,Q4,250,1.0,0.09999999999999998,1.0
0.95,Operator,EVgo,1002,0.9540918163672655,0.004091816367265522,0.9541666401836448
0.95,SigmaQuartile,Q1,251,0.8207171314741036,-0.12928286852589632,0.8225927587999291
0.95,SigmaQuartile,Q2,250,0.996,0.04600000000000004,0.9944167640209198
0.95,SigmaQuartile,Q3,251,1.0,0.050000000000000044,1.0
0.95,SigmaQuartile,Q4,250,1.0,0.050000000000000044,1.0
