Dataset,PrimaryMethod,Comparator,Metric,MeanDifference,BootstrapCI95_L,BootstrapCI95_U,TwoSidedBootstrapP,BootstrapRepetitions
Source_MAIN,PRIME_CommonCore_Full,Random,NDCG_at_10_percent,-0.0193601708951955,-0.0830183589799484,0.0424149394382142,0.534,1000
Source_MAIN,PRIME_CommonCore_Full,Random,Spearman,0.0005959764726403,-0.0816604857447626,0.0820417401699834,0.99,1000
Source_MAIN,PRIME_CommonCore_Full,Random,PairwiseAccuracy,0.0019363,-0.0295099999999999,0.0352024999999999,0.91,1000
Source_MAIN,PRIME_CommonCore_Full,Ridge_CommonCore,NDCG_at_10_percent,0.010346518829245,-0.0585939413299562,0.0749921801289516,0.734,1000
Source_MAIN,PRIME_CommonCore_Full,Ridge_CommonCore,Spearman,0.0302638701658904,-0.0478830485761783,0.1108889014076048,0.456,1000
Source_MAIN,PRIME_CommonCore_Full,Ridge_CommonCore,PairwiseAccuracy,0.01179735,-0.016755,0.0414575,0.416,1000
External_Public_Stations,PRIME_CommonCore_Full,Random,NDCG_at_10_percent,0.1107997717857036,0.0378968938219062,0.1849287791673695,0.006,1000
External_Public_Stations,PRIME_CommonCore_Full,Random,Spearman,0.0243512899595188,-0.0583476138199671,0.1026406876054819,0.538,1000
External_Public_Stations,PRIME_CommonCore_Full,Random,PairwiseAccuracy,0.00897775,-0.0213125,0.0403062499999999,0.568,1000
External_Public_Stations,PRIME_CommonCore_Full,Ridge_CommonCore,NDCG_at_10_percent,-0.007501181475364,-0.072967152973985,0.0563807678072652,0.84,1000
External_Public_Stations,PRIME_CommonCore_Full,Ridge_CommonCore,Spearman,0.0315009570200684,-0.0533514321085002,0.1062507099448382,0.436,1000
External_Public_Stations,PRIME_CommonCore_Full,Ridge_CommonCore,PairwiseAccuracy,0.0134234499999999,-0.01785875,0.0436124999999999,0.428,1000
External_PaloAlto_Usage,PRIME_DemandHead,Random,NDCG_at_10_percent,0.0628672621581954,-0.2840802114330329,0.420879847101852,0.754,1000
External_PaloAlto_Usage,PRIME_DemandHead,Random,Spearman,0.3393238499243272,-0.1555488584811519,0.8247978942052945,0.196,1000
External_PaloAlto_Usage,PRIME_DemandHead,Random,PairwiseAccuracy,0.087729,-0.08305,0.2630499999999999,0.36,1000
External_PaloAlto_Usage,PRIME_DemandHead,Ridge_SourcePriority,NDCG_at_10_percent,0.2864205806205053,-0.0240233251503434,0.5850044857083786,0.062,1000
External_PaloAlto_Usage,PRIME_DemandHead,Ridge_SourcePriority,Spearman,0.399946520711931,0.1633662232163046,0.6263190000763168,0.004,1000
External_PaloAlto_Usage,PRIME_DemandHead,Ridge_SourcePriority,PairwiseAccuracy,0.0943239999999999,-0.002025,0.1780999999999999,0.056,1000
