Method,Metric,Mean,Std,CI95_L,CI95_U,NSeeds
ExternalTargetOnly,NDCG_full,0.8776850966397246,0.007907801730492367,0.8678662639260388,0.8875039293534104,5
ExternalTargetOnly,NDCG_at_10_percent,0.5563985519033625,0.0710884395498792,0.46813059582579275,0.6446665079809323,5
ExternalTargetOnly,TopKAgreement_at_10_percent,0.07552380952380952,0.050998643883975334,0.012200629455862644,0.1388469895917564,5
ExternalTargetOnly,Spearman,0.021276501579451147,0.03172059364866169,-0.01810981755574313,0.06066282071464542,5
ExternalTargetOnly,KendallTau,0.01718268063500155,0.023650583408672165,-0.012183397320061996,0.0465487585900651,5
ExternalTargetOnly,PairwiseAccuracy,0.5069973346071518,0.01443535652484812,0.48907347210901203,0.5249211971052915,5
ExternalTargetOnly,Regret_at_10_percent,0.3294742160278745,0.05820393555379351,0.2572044846969569,0.40174394735879215,5
Random,NDCG_full,0.8656668193050919,0.023946046947016818,0.8359338749116839,0.8953997636984999,5
Random,NDCG_at_10_percent,0.5164679115531943,0.09996338785906214,0.39234697171011734,0.6405888513962712,5
Random,TopKAgreement_at_10_percent,0.10742857142857143,0.05278373280642051,0.04188891071203203,0.1729682321451108,5
Random,Spearman,-0.03957151698975812,0.05367703405767452,-0.10622035770953,0.02707732373001378,5
Random,KendallTau,-0.027892587092694647,0.036860474087001174,-0.07366091072324685,0.01787573653785756,5
Random,PairwiseAccuracy,0.48183164588949057,0.020108020935184642,0.4568642402191442,0.506799051559837,5
Random,Regret_at_10_percent,0.35782195287871243,0.05112497152941658,0.2943419163214433,0.42130198943598157,5
SourcePlusTargetAdaptation,NDCG_full,0.8871677473897662,0.007593558069499622,0.8777390997165988,0.8965963950629336,5
SourcePlusTargetAdaptation,NDCG_at_10_percent,0.6045990800472624,0.05068997862874839,0.5416591585142272,0.6675390015802976,5
SourcePlusTargetAdaptation,TopKAgreement_at_10_percent,0.126,0.05127799826997895,0.06232995564821213,0.18967004435178786,5
SourcePlusTargetAdaptation,Spearman,0.06799093450918677,0.06008340523116783,-0.00661246665584217,0.1425943356742157,5
SourcePlusTargetAdaptation,KendallTau,0.047482369338977856,0.04166981324908347,-0.004257537584283405,0.09922227626223912,5
SourcePlusTargetAdaptation,PairwiseAccuracy,0.5228332892331837,0.02352032336689959,0.4936289504823937,0.5520376279839737,5
SourcePlusTargetAdaptation,Regret_at_10_percent,0.29604037663846017,0.04670608667990492,0.23804711031103776,0.3540336429658826,5
SourceZeroShot,NDCG_full,0.8913461323283552,0.00897497886426756,0.8802022241879545,0.902490040468756,5
SourceZeroShot,NDCG_at_10_percent,0.617531676590441,0.06294332618204107,0.539377214543004,0.6956861386378779,5
SourceZeroShot,TopKAgreement_at_10_percent,0.13504761904761903,0.08901680138999163,0.024518661526411425,0.24557657656882664,5
SourceZeroShot,Spearman,0.043907518978239045,0.05290475220627558,-0.021782407170184627,0.10959744512666272,5
SourceZeroShot,KendallTau,0.033260932270594935,0.03797656618984661,-0.013893202742739974,0.08041506728392984,5
SourceZeroShot,PairwiseAccuracy,0.5131681543369425,0.015981042379957882,0.49332506935998016,0.5330112393139048,5
SourceZeroShot,Regret_at_10_percent,0.29418421105027376,0.049901048224393764,0.23222387599741404,0.3561445461031335,5
