Method,Family,IsUpperBound,NDCG@5%,NDCG@10%,NDCG@20%,Precision@10%,Recall@10%,Spearman,KendallTau,PairwiseAccuracy,NoiseKendallStability,Bootstrap_NDCG@10%_Std,RuntimeRank_ms,Top10_AvgUtility,Top10_Regret_vs_Oracle,Top10_AvgUsage,Top10_AvgCapacity,Top10_AvgRating,Top10_AvgCost,Top10_AvgDistance,Top10_RenewableShare,Top10_DemandCapacityFit,CongestionProxy_users_per_kW,CongestionProxy_RelativeToRandom,Transfer_NDCG@10%,Transfer_Precision@10%,Transfer_Spearman,Transfer_KendallTau,P1_RankingFidelity_100,P2_PlanningImpact_100,P3_OperationalImpact_100,P4_Robustness_100,P5_Scalability_100,P6_Transferability_100,P7_StatisticalReliability_100,IEEE_7PerspectiveScore_100
PRIME-EV,Proposed,False,0.996627871329024,0.9967144003163523,0.9965028254078382,0.9,0.9,0.9386310827073518,0.7943916454317598,0.8876666666666667,0.9807848929785956,0.0013259464493204072,0.050299999462107996,0.703953240316865,0.0024018328121743204,77.302,304.0,4.282,0.26114,8.71654,0.754,0.777680758807588,0.28061142857016275,0.24927142763376414,0.9966588771366003,0.901283335187864,0.9387825863048342,0.7948220580828903,95.78444676180496,88.53303912107224,81.99603137248187,97.35402549926422,98.99904326476987,95.74366900430641,95.10853366708477,92.40007160920462
GradientBoostedRanker,MLRanker,False,0.985962599190158,0.989759961222232,0.9905260882290655,0.852,0.852,0.9538231245867914,0.8147248940548094,0.9079693231077026,0.9809773743141044,0.004363896523013704,0.05385714238010613,0.7002662380654578,0.006088835063581488,78.368,319.6,4.2592,0.26536000000000004,8.4108,0.712,0.7478341463414635,0.26787809523703676,0.23796021271048712,0.9893924079719417,0.8462738358699191,0.9549112863363168,0.8176910679164445,94.73818215084398,87.14199554283113,82.20425829773511,94.16580903027527,98.92863756292621,94.31707245843074,90.89421342607417,90.91809204066594
AHP,MCDM,False,0.9935839340315598,0.9902682443478346,0.9855519016629581,0.826,0.826,0.8718127259777497,0.6918248414472681,0.843,0.9810419939909971,0.002023739841607022,0.04714285647163966,0.6987405327496354,0.0076145403794039,79.078,300.128,4.3488,0.25168,7.67028,0.712,0.6726845528455285,0.4292116017246442,0.38127523623694937,0.9899851984471474,0.8195191408165705,0.8710553491950813,0.6911774810317438,92.79586721471708,86.12971096734536,79.66077209476295,96.63555491120816,99.06157383158765,92.20375334764543,92.66783368699303,90.16291320395297
RandomForestRanker,MLRanker,False,0.9688572081309679,0.9798110842831208,0.9839954321244064,0.804,0.804,0.9414482698574113,0.7904157852921758,0.8896298766255418,0.9800852086388053,0.004966155028898421,0.04805714083236775,0.695047379153638,0.011307693975401323,82.556,324.0,4.1538,0.28896000000000005,9.01584,0.63,0.8010818428184282,0.2726742857132613,0.2422207421312018,0.9805963038807262,0.7969989573416746,0.9423214328968076,0.7925307867833687,92.86733640539293,86.12107149482459,81.65010177860405,93.47328988889623,99.04346139808892,92.43767587105945,89.36599175785426,89.79394982552756
MultiObjective_WeightedSum,MultiObjective,False,0.9898315015029826,0.9879832589229168,0.9840952904065374,0.804,0.804,0.8917551261188243,0.7146791131071027,0.8643333333333333,0.981139032034233,0.003936207543125628,0.04875714200482305,0.6972249308317702,0.009130142297269161,75.784,309.04,4.319799999999999,0.2461,7.29336,0.716,0.6590720867208673,0.37389956709401173,0.33214070915100585,0.9876060212115977,0.8024038837992326,0.8913331904497087,0.7143540735265675,92.59011226294018,85.72471060053657,80.23312156874162,94.62692194529228,99.02959626085226,91.98747032163264,90.28626539787837,89.60358631699866
TOPSIS,MCDM,False,0.9888881379690905,0.9888144463797349,0.9789722190492798,0.826,0.826,0.7426373279687863,0.5609113120082188,0.782,0.9807804120824166,0.003451121155280885,0.047085715258227925,0.6979234641234108,0.00843160900562856,82.12,322.8,4.2856000000000005,0.2677,8.37632,0.558,0.7459176151761518,0.2817219047607859,0.25025788063320326,0.9892390752370582,0.8330160025386464,0.7411957107559118,0.559789562824344,90.74616421263408,86.11005801223027,80.67713616416813,95.11468965427386,99.06270593776287,90.55206337081461,88.82996671754168,89.15348106347705
VIKOR,MCDM,False,0.9839675038704019,0.9846317189387127,0.9790064576331354,0.794,0.794,0.8144466105065323,0.6275425909592077,0.8273333333333334,0.9799973594700953,0.006149594663213943,0.0489857151738501,0.6948154551594751,0.011539617969564264,81.18,309.2,4.3212,0.26732000000000006,8.254719999999999,0.614,0.7237875338753388,0.29983619047488114,0.2663490779287882,0.9848232113263621,0.7924656602747179,0.8142772953807466,0.6277265391741206,90.98435192117267,85.53789406922941,80.82635793941888,92.22072968125131,99.02506926259912,90.4100916662323,85.90263951086904,88.3918479830115
RidgeLinearRanker,MLRanker,False,0.9754099559307698,0.975749889576626,0.9805740013861742,0.732,0.732,0.9130715224665158,0.743815602130932,0.8756252084028009,0.9812109941988398,0.0050174259495601135,0.048828571120144,0.6882787179487182,0.018076355180321135,70.58,302.016,4.359199999999999,0.24124,6.833600000000001,0.784,0.6088466124661247,0.3923546320277925,0.3485346258441284,0.9760246467087387,0.7330155904207313,0.9129240980936734,0.7437822221974102,90.867635945311,83.86782262419841,78.51739663379696,93.4924478608479,99.02818155166713,90.09465095433531,88.85317058461482,88.07981965349614
Pareto_BalancedSort,MultiObjective,False,0.9657018341718538,0.9611176837368494,0.9648104539988148,0.612,0.612,0.8385392134035657,0.6434702495136055,0.8173333333333334,0.9805290955518375,0.006293826696498264,0.04971428591358874,0.6771327919949972,0.029222281134042127,71.442,226.992,4.408799999999999,0.22488,6.47186,0.728,0.7413685636856369,0.5005736796453062,0.44466726247349864,0.9619034716357274,0.6080140449785493,0.8385571477562843,0.6438710073778587,86.45770845812896,84.31481535423288,74.21528414619137,92.10333233597233,99.01064096023548,85.09093386252361,85.08065343345068,85.3065838285808
DemandCapacityHeuristic,Heuristic,False,0.929416110007079,0.9487290820988677,0.9339714240847957,0.682,0.682,0.537134343065994,0.3779351583758657,0.6875625208402801,0.9818529680899376,0.005789542144231036,0.05034285797072308,0.6793630905982909,0.026991982530748415,82.92,350.0,4.011400000000001,0.2935,10.35518,0.5,0.8102222222222223,0.2369142857136088,0.2104545867129524,0.9481173010296345,0.6820984220005027,0.5355590115142711,0.3770126759845123,82.64275549264222,82.74647646351086,79.35857105688953,92.72068888615274,98.99819467813707,81.9583925914114,81.82441428070806,84.59828569350381
