Method,Family,IsUpperBound,P1_RankingFidelity_100,P2_PlanningImpact_100,P3_OperationalImpact_100,P4_Robustness_100,P5_Scalability_100,P6_Transferability_100,P7_StatisticalReliability_100,IEEE_7PerspectiveScore_100
PRIME-EV,Proposed,False,95.78444676180496,88.53303912107224,81.99603137248187,97.35402549926422,98.99904326476987,95.74366900430641,95.10853366708477,92.40007160920462
GradientBoostedRanker,MLRanker,False,94.73818215084398,87.14199554283113,82.20425829773511,94.16580903027527,98.92863756292621,94.31707245843074,90.89421342607417,90.91809204066594
AHP,MCDM,False,92.79586721471708,86.12971096734536,79.66077209476295,96.63555491120816,99.06157383158765,92.20375334764543,92.66783368699303,90.16291320395297
RandomForestRanker,MLRanker,False,92.86733640539293,86.12107149482459,81.65010177860405,93.47328988889623,99.04346139808892,92.43767587105945,89.36599175785426,89.79394982552756
MultiObjective_WeightedSum,MultiObjective,False,92.59011226294018,85.72471060053657,80.23312156874162,94.62692194529228,99.02959626085226,91.98747032163264,90.28626539787837,89.60358631699866
TOPSIS,MCDM,False,90.74616421263408,86.11005801223027,80.67713616416813,95.11468965427386,99.06270593776287,90.55206337081461,88.82996671754168,89.15348106347705
VIKOR,MCDM,False,90.98435192117267,85.53789406922941,80.82635793941888,92.22072968125131,99.02506926259912,90.4100916662323,85.90263951086904,88.3918479830115
RidgeLinearRanker,MLRanker,False,90.867635945311,83.86782262419841,78.51739663379696,93.4924478608479,99.02818155166713,90.09465095433531,88.85317058461482,88.07981965349614
Pareto_BalancedSort,MultiObjective,False,86.45770845812896,84.31481535423288,74.21528414619137,92.10333233597233,99.01064096023548,85.09093386252361,85.08065343345068,85.3065838285808
DemandCapacityHeuristic,Heuristic,False,82.64275549264222,82.74647646351086,79.35857105688953,92.72068888615274,98.99819467813707,81.9583925914114,81.82441428070806,84.59828569350381
WASPAS,MCDM,False,85.62888100732819,81.1138209790984,76.92220698582538,85.82897505570692,99.05251720084041,84.27609680380962,75.95394808494204,83.16693417582874
SAW_EqualWeights,MCDM,False,84.63933213162912,79.91743059564692,71.33556920888473,84.51049471878235,99.01290410369724,83.16197846407078,74.00783306519007,81.227034555572
ShallowTreeRanker,MLRanker,False,80.82055966335867,77.96778253355508,77.84825894582997,71.47378182726482,99.1796689711654,80.27354072855096,57.31033538964297,77.49368004146946
QualityGreenHeuristic,Heuristic,False,66.02295083045723,66.72799338493886,53.536488380602556,82.8631352599459,99.00441766476462,63.72001753155929,65.07222058233886,68.43489606352759
CostAccessHeuristic,Heuristic,False,64.289939964479,64.23389316896849,56.53072925266821,77.86393050795385,99.08082193177442,62.16639699445935,57.00283997249237,66.49834597222947
CapacityOnly,Heuristic,False,66.47933395459486,60.83518013440122,69.09048204378081,58.775042311723034,99.82615129776713,65.44492682217717,38.85516626516922,64.5946155703358
DistanceOnly,Heuristic,False,59.61092734078994,56.50763580129357,58.44428346607089,69.77904529598706,98.96821690555153,57.05640771636842,43.90655022333446,61.4352977934867
CostOnly,Heuristic,False,58.466528900923784,57.8408679918782,47.55381378095845,71.5774364260345,99.24032878469775,55.97966292064829,45.309801072615194,59.7734809202443
RatingOnly,Heuristic,False,61.06725903843533,59.79654900120188,49.16685147404395,65.28997358021158,99.10800213475186,58.87481116032425,38.14842695143318,59.68822248449887
RenewableOnly,Heuristic,False,57.40767668716005,56.26087510046987,54.89011888850597,55.95520340943663,99.85153885467321,56.3936826700565,43.257160185878604,58.362964019453145
Random,Heuristic,False,51.59724514069478,49.216890317633656,50.71712992782115,78.96324063126234,98.98320468783702,48.82803696357747,52.760610870471055,58.30573993131622
DemandOnly,Heuristic,False,60.49480140116036,52.44917700430823,43.9225982678737,63.99926154984892,99.05902654732964,58.08543723997379,34.862534705769775,56.69062994291641
KMeansRepresentative,Heuristic,False,47.2732466443065,48.44047254296889,45.491010775605424,78.00077290941965,98.94644631205847,44.309430276201816,49.85184225111446,55.38190344201958
OldestFirst,Heuristic,False,48.89091478662482,48.86747074301566,50.32576206328372,71.02666346948878,99.71839721971101,47.322210571576306,40.328516990863946,55.202938324837774
Oracle_WeightedUtility_UpperBound,UpperBound,True,99.99999999999885,88.60231416226377,82.687037998893,98.71242819962643,98.94475008888787,79.48414437520881,99.99999999999567,91.28486644409975
