Comparison,Metric,MeanDelta,CI95_Low,CI95_High,Bootstrap_p,Significant_at_0.05
PRIME-EV vs MultiObjective_WeightedSum,NDCG@10%,0.008383970634892872,0.0025066106323653387,0.01679908966872598,0.0,True
PRIME-EV vs MultiObjective_WeightedSum,Precision@10%,0.08761904761904761,-0.03642857142857141,0.20785714285714277,0.3333333333333333,False
PRIME-EV vs MultiObjective_WeightedSum,Top10_AvgUtility,0.007663852328340126,0.0027541088477916866,0.014929231498853297,0.0,True
PRIME-EV vs Pareto_BalancedSort,NDCG@10%,0.03203196662663302,0.02048879436428666,0.04465267185435158,0.0,True
PRIME-EV vs Pareto_BalancedSort,Precision@10%,0.28761904761904755,0.17142857142857146,0.40785714285714286,0.0,True
PRIME-EV vs Pareto_BalancedSort,Top10_AvgUtility,0.0268807912683522,0.01398169646207452,0.0407271630036628,0.0,True
PRIME-EV vs AHP,NDCG@10%,0.005834082240417993,0.0011615792923165753,0.010397890538421583,0.0,True
PRIME-EV vs AHP,Precision@10%,0.07523809523809517,-0.015714285714285715,0.1792857142857142,0.26666666666666666,False
PRIME-EV vs AHP,Top10_AvgUtility,0.004293375581960938,-0.0016490911730546952,0.010238082774948537,0.13333333333333333,False
PRIME-EV vs TOPSIS,NDCG@10%,0.007363981842893766,0.0024539020375308643,0.014100704274148534,0.0,True
PRIME-EV vs TOPSIS,Precision@10%,0.079047619047619,-0.007857142857142858,0.17142857142857137,0.3333333333333333,False
PRIME-EV vs TOPSIS,Top10_AvgUtility,0.006418699842163259,0.0019144374460227933,0.015107762545043193,0.0,True
PRIME-EV vs VIKOR,NDCG@10%,0.01148943852025065,0.00446950967384695,0.022324035934823377,0.0,True
PRIME-EV vs VIKOR,Precision@10%,0.12190476190476186,0.0492857142857142,0.19999999999999996,0.0,True
PRIME-EV vs VIKOR,Top10_AvgUtility,0.007943540546174691,0.0020576582685605527,0.01314770192679958,0.0,True
PRIME-EV vs WASPAS,NDCG@10%,0.0386706894689834,0.016703027352259484,0.060657489153851815,0.0,True
