Method,Transfer_NDCG@10%,Transfer_Precision@10%,Transfer_Spearman,Transfer_KendallTau
AHP,0.9899851984471474,0.8195191408165705,0.8710553491950813,0.6911774810317438
CapacityOnly,0.7918315827032566,0.30740287411034045,0.5133746378053826,0.39873747394365333
CostAccessHeuristic,0.7965920059004664,0.22135677460034864,0.43041945151629113,0.296328569753346
CostOnly,0.7398517762254816,0.1596462379816113,0.2757170824155611,0.18760124336114603
DemandCapacityHeuristic,0.9481173010296345,0.6820984220005027,0.5355590115142711,0.3770126759845123
DemandOnly,0.7377768159399815,0.24084995198826287,0.286740301672141,0.1993657412493274
DistanceOnly,0.7531260506839422,0.14733009408652004,0.3350780675041534,0.2263404816772939
GradientBoostedRanker,0.9893924079719417,0.8462738358699191,0.9549112863363168,0.8176910679164445
KMeansRepresentative,0.6604836217483597,0.03961895577562652,-0.10513528314700028,-0.07029075307900699
MultiObjective_WeightedSum,0.9876060212115977,0.8024038837992326,0.8913331904497087,0.7143540735265675
OldestFirst,0.679072108074144,0.11057329723180397,-0.07432169757407746,-0.051429949362899484
PRIME-EV,0.9966588771366003,0.901283335187864,0.9387825863048342,0.7948220580828903
Pareto_BalancedSort,0.9619034716357274,0.6080140449785493,0.8385571477562843,0.6438710073778587
QualityGreenHeuristic,0.8074435628601485,0.2191849131873612,0.5118171422450417,0.3574525901436325
Random,0.6883420602908723,0.10988093913430512,0.007900194276063784,0.005323765873988865
RandomForestRanker,0.9805963038807262,0.7969989573416746,0.9423214328968076,0.7925307867833687
RatingOnly,0.764216187209537,0.1897535122749321,0.35200745348087015,0.24423407884261653
RenewableOnly,0.7298358350283282,0.13485116361493352,0.36778508252099845,0.3003880356396819
RidgeLinearRanker,0.9760246467087387,0.7330155904207313,0.9129240980936734,0.7437822221974102
SAW_EqualWeights,0.9436238334506853,0.5552959212689935,0.8514743134963569,0.6603529584203058
ShallowTreeRanker,0.9015372854348113,0.5860831901223578,0.7334799701084934,0.5434966859681142
TOPSIS,0.9892390752370582,0.8330160025386464,0.7411957107559118,0.559789562824344
VIKOR,0.9848232113263621,0.7924656602747179,0.8142772953807466,0.6277265391741206
WASPAS,0.9542499955731607,0.5885352917176663,0.838942969887912,0.6464070022393212
