Variable,VariableType,SpearmanWithPreferenceLabel,AbsoluteCorrelation
risk_proxy_y,label_only,0.8316842972690701,0.8316842972690701
observed_usage_u,label_only,0.527178837699513,0.527178837699513
Connector Types_Type 2,model_input,-0.08271780369551301,0.08271780369551301
Parking Spots,model_input,-0.060687418834239566,0.060687418834239566
Maintenance Frequency_Quarterly,model_input,0.05992601073935602,0.05992601073935602
Charger Type_AC Level 1,model_input,0.04938932688788397,0.04938932688788397
Maintenance Frequency_Monthly,model_input,-0.04289301559437164,0.04289301559437164
Connector Types_CCS,model_input,0.04010528522962192,0.04010528522962192
Installation Year,model_input,-0.038661365008938894,0.038661365008938894
Charger Type_DC Fast Charger,model_input,-0.03637486841590703,0.03637486841590703
Connector Types_CHAdeMO,model_input,0.036305675085745066,0.036305675085745066
"Connector Types_CCS, Tesla",model_input,0.03571704003240458,0.03571704003240458
Distance to City (km),model_input,-0.03218483232876385,0.03218483232876385
Cost (USD/kWh),model_input,-0.03217143619365423,0.03217143619365423
"Connector Types_CHAdeMO, Tesla",model_input,-0.030978042391115908,0.030978042391115908
"Connector Types_Tesla, CHAdeMO",model_input,-0.024294830191833885,0.024294830191833885
Availability_9:00-18:00,model_input,-0.024249813916367623,0.024249813916367623
"Connector Types_CHAdeMO, Type 2",model_input,0.018124786103872016,0.018124786103872016
Maintenance Frequency_Annually,model_input,-0.016533356008250268,0.016533356008250268
"Connector Types_Tesla, Type 2",model_input,0.013612348084167343,0.013612348084167343
Charger Type_AC Level 2,model_input,-0.012714227190392944,0.012714227190392944
"Connector Types_CCS, CHAdeMO",model_input,-0.012487531106217805,0.012487531106217805
Availability_24/7,model_input,0.012076717990189369,0.012076717990189369
Availability_6:00-22:00,model_input,0.0120117231708117,0.0120117231708117
"Connector Types_Type 2, CCS",model_input,0.012005149309512402,0.012005149309512402
Renewable Energy Source_No,model_input,0.00956192617379301,0.00956192617379301
Renewable Energy Source_Yes,model_input,-0.00956192617379301,0.00956192617379301
"Connector Types_CHAdeMO, CCS",model_input,-0.008263906832690427,0.008263906832690427
Connector Types_Tesla,model_input,0.005889843221634452,0.005889843221634452
"Connector Types_Type 2, Tesla",model_input,-0.005511494331320154,0.005511494331320154
"Connector Types_CCS, Type 2",model_input,0.00535705888162003,0.00535705888162003
Charging Capacity (kW),model_input,-0.002811406540019261,0.002811406540019261
"Connector Types_Type 2, CHAdeMO",model_input,-0.0005140253863642328,0.0005140253863642328
"Connector Types_Tesla, CCS",model_input,-0.00046307168904049595,0.00046307168904049595
