Seed,Variant,ParameterCount,ModelMemoryMB,TrainingTime_seconds,Latency_ms_per_station,NDCG@10,MAP@10,Recall@10,HitRate@10,TopKOverlap@10,Regret@10,NDCG@25,MAP@25,Recall@25,HitRate@25,TopKOverlap@25,Regret@25,NDCG@50,MAP@50,Recall@50,HitRate@50,TopKOverlap@50,Regret@50,NDCG@100,MAP@100,Recall@100,HitRate@100,TopKOverlap@100,Regret@100,NDCG_full,NDCG@10pct,P@10pct,Spearman,KendallTau,PairwiseAccuracy
42,Full,14325,0.054645538330078125,0.5672367000370286,0.025457185640415585,0.6390106751387622,0.0,0.0,0.0,0.0,0.3371111065149307,0.6076038737326843,0.002105263157894737,0.04,1.0,0.04,0.3708888867497444,0.5654995550653309,0.0010526315789473684,0.02,1.0,0.02,0.40848888844251635,0.5978582704230595,0.009304009394805923,0.08,1.0,0.08,0.3452111105620861,0.9217101587907888,0.5972023626426956,0.07920792079207921,-0.016474982460593434,-0.011132887297100186,0.5052
42,NoIRE_Conv,7060,0.0269317626953125,0.06591200002003461,0.001663905528144129,0.5204426767743708,0.0,0.0,0.0,0.0,0.46555554643273356,0.5325960623728478,0.0016666666666666666,0.04,1.0,0.04,0.42608888387680055,0.5299851834095531,0.0035385005065856124,0.06,1.0,0.06,0.4207777759432793,0.5699691966952852,0.008643085933966328,0.09,1.0,0.09,0.3559333301335572,0.9161842785520213,0.5716331580401589,0.0891089108910891,-0.024251407548045813,-0.016824049614958175,0.4824
42,PointwiseRanking,14325,0.054645538330078125,0.840303800010588,0.022854457753577227,0.560802085300547,0.0,0.0,0.0,0.0,0.45855555236339574,0.5823366949856457,0.0017391304347826085,0.04,1.0,0.04,0.39271110713481905,0.5699368504471103,0.006137222644639525,0.08,1.0,0.08,0.39371110841631896,0.596794856857346,0.01082991996426734,0.11,1.0,0.11,0.3414444435946643,0.9213580538291116,0.5948317858929112,0.10891089108910891,-0.015634941013780254,-0.010187020909069087,0.5058
42,NoAttention,14325,0.054645538330078125,0.46521280001616105,0.019406254142423668,0.5532873159443393,0.0,0.0,0.0,0.0,0.46466665863990786,0.5576470311680959,0.013333333333333332,0.04,1.0,0.04,0.42373333036899574,0.5488524106092001,0.010164203612479474,0.06,1.0,0.06,0.4173777779936791,0.5982451038838595,0.008616208268333312,0.08,1.0,0.08,0.33702222242951385,0.9237488680443615,0.5982617011713774,0.07920792079207921,0.0506177098552643,0.03343857186547908,0.5068
42,DeterministicRisk,14325,0.054645538330078125,0.7281785000232048,0.023416034596602242,0.6429950487098207,0.0,0.0,0.0,0.0,0.4064444363117218,0.5685391143786678,0.04,0.04,1.0,0.04,0.45306665956974035,0.5780917321876782,0.02249032258064516,0.06,1.0,0.06,0.40251110807061197,0.5784776098229072,0.030697810958075843,0.11,1.0,0.11,0.37197777599096293,0.9228994037201815,0.5780443611271335,0.10891089108910891,0.0008066271879797359,0.00040907805103806646,0.503
123,Full,14325,0.054645538330078125,0.5080687000299804,0.02046573519240755,0.5213155458553169,0.0,0.0,0.0,0.0,0.4556666523218155,0.4677342787692366,0.0,0.0,0.0,0.0,0.5072888836264611,0.5021389869301608,0.0005714285714285714,0.02,1.0,0.02,0.4442222219705582,0.52186757584932,0.003367492835802695,0.06,1.0,0.06,0.4023666666448116,0.912645739049253,0.5254223995458165,0.06930693069306931,-0.036433857419604386,-0.024422908698549767,0.4796
123,NoIRE_Conv,7060,0.0269317626953125,0.06488009996246547,0.001191350621966297,0.49450085354770695,0.0,0.0,0.0,0.0,0.45255554616451266,0.45018123974731405,0.0,0.0,0.0,0.0,0.5136888819932939,0.488766654657159,0.000689655172413793,0.02,1.0,0.02,0.45022221937775614,0.5509564122279413,0.007495623477663042,0.1,1.0,0.1,0.3636888877302408,0.9149982730470407,0.5527416893910433,0.09900990099009901,0.016228065813583426,0.009963525053669335,0.4952
123,PointwiseRanking,14325,0.054645538330078125,0.7963291999767534,0.023307950754543977,0.46468674915564906,0.0,0.0,0.0,0.0,0.4766666539013386,0.5139044246466749,0.002105263157894737,0.04,1.0,0.04,0.4191111025214196,0.5644472403373981,0.0062451781627983,0.08,1.0,0.08,0.3597555539011955,0.5661517928708413,0.015087642902889527,0.1,1.0,0.1,0.35664444169029585,0.9156575160146951,0.5657881926501503,0.09900990099009901,-0.029174251538190782,-0.019817297678347723,0.4922
123,NoAttention,14325,0.054645538330078125,0.7417699999641627,0.01921660012530853,0.4410068781954173,0.0,0.0,0.0,0.0,0.5131111025810242,0.5051935218355846,0.0,0.0,0.0,0.0,0.42355555117130284,0.5240995193626774,0.0,0.0,0.0,0.0,0.40395555421710017,0.5683645897015397,0.006091094662909461,0.09,1.0,0.09,0.345599997062236,0.9152526666649184,0.5684908503253758,0.0891089108910891,-0.0039710220769548,-0.0025263038842446516,0.49
123,DeterministicRisk,14325,0.054645538330078125,0.8444344999734312,0.022176546916794417,0.5068959302186481,0.0,0.0,0.0,0.0,0.5082222118973732,0.5655034481210094,0.0,0.0,0.0,0.0,0.39506665885448455,0.5726889725579822,0.002045454545454545,0.04,1.0,0.04,0.3772888854146004,0.5807807977168131,0.03277933843465869,0.13,1.0,0.13,0.3543777761608362,0.9197693357543019,0.5821867800549281,0.13861386138613863,-0.017341313969725942,-0.011444185095692698,0.4778
456,Full,14325,0.054645538330078125,0.7916367000434548,0.020967578515095894,0.5106582835302407,0.0,0.0,0.0,0.0,0.47622221112251284,0.534363579160028,0.0,0.0,0.0,0.0,0.4229333245754242,0.5565114588908856,0.00043478260869565214,0.02,1.0,0.02,0.38666666075587275,0.5820521553338621,0.0029181706072471353,0.06,1.0,0.06,0.34382221929728984,0.9201777270945155,0.5807233132979465,0.050505050505050504,0.04652762906301755,0.030835971446142287,0.504
456,NoIRE_Conv,7060,0.0269317626953125,0.0677869999781251,0.001680952383124146,0.4128416223213874,0.0,0.0,0.0,0.0,0.5127777725458145,0.5153858280224226,0.0026666666666666666,0.04,1.0,0.04,0.3927111065387726,0.5376198415820624,0.0013333333333333333,0.02,1.0,0.02,0.3786666664481163,0.59160156000301,0.014089871103878406,0.12,1.0,0.12,0.31635555442422636,0.9171149219995851,0.5909198390712678,0.12121212121212122,0.03318628865993671,0.022066240088418634,0.5002
456,PointwiseRanking,14325,0.054645538330078125,0.8158554000547156,0.025242181704466113,0.5689932583237123,0.0,0.0,0.0,0.0,0.41377778053283687,0.5403066327574989,0.0,0.0,0.0,0.0,0.4367111098393798,0.5384585469313515,0.0,0.0,0.0,0.0,0.42111111005768187,0.5860746512807438,0.009414178190408084,0.1,1.0,0.1,0.34379999849013987,0.9197804770318871,0.5868018400485427,0.10101010101010101,0.002091749691691769,0.001445850955544004,0.5006
