Variant,Metric,Mean,Std,CI95_L,CI95_U,N
DeterministicRisk,ParameterCount,14325.0,0.0,14325.0,14325.0,5
DeterministicRisk,ModelMemoryMB,0.054645538330078125,0.0,0.054645538330078125,0.054645538330078125,5
DeterministicRisk,TrainingTime_seconds,0.6759892800007947,0.13390201958415013,0.5097279629963798,0.8422505970052097,5
DeterministicRisk,Latency_ms_per_station,0.02203806045873446,0.0009866735038624244,0.02081294349100692,0.023263177426461997,5
DeterministicRisk,NDCG@10,0.5000795179601208,0.09974140373066875,0.3762342078174426,0.6239248281027991,5
DeterministicRisk,MAP@10,0.0,0.0,0.0,0.0,5
DeterministicRisk,Recall@10,0.0,0.0,0.0,0.0,5
DeterministicRisk,HitRate@10,0.0,0.0,0.0,0.0,5
DeterministicRisk,TopKOverlap@10,0.0,0.0,0.0,0.0,5
DeterministicRisk,Regret@10,0.4856222136318683,0.05324909825978419,0.41950472538587946,0.5517397018778571,5
DeterministicRisk,NDCG@25,0.5262259972622196,0.060167965786886234,0.45151760029948707,0.6009343942249522,5
DeterministicRisk,MAP@25,0.00980952380952381,0.017048683127206105,-0.011359212246312016,0.030978259865359636,5
DeterministicRisk,Recall@25,0.024,0.021908902300206645,-0.003203495226330278,0.051203495226330276,5
DeterministicRisk,HitRate@25,0.6,0.5477225575051662,-0.08008738065825705,1.280087380658257,5
DeterministicRisk,TopKOverlap@25,0.024,0.021908902300206645,-0.003203495226330278,0.051203495226330276,5
DeterministicRisk,Regret@25,0.4314133268594742,0.05198209904318756,0.36686902592648574,0.49595762779246266,5
DeterministicRisk,NDCG@50,0.5422482629071503,0.04172575663149421,0.49043889310001193,0.5940576327142888,5
DeterministicRisk,MAP@50,0.006589632947697463,0.00896806918388461,-0.004545695691332689,0.017724961586727615,5
DeterministicRisk,Recall@50,0.044000000000000004,0.008944271909999156,0.032894219579208815,0.055105780420791194,5
DeterministicRisk,HitRate@50,1.0,0.0,1.0,1.0,5
DeterministicRisk,TopKOverlap@50,0.044000000000000004,0.008944271909999156,0.032894219579208815,0.055105780420791194,5
DeterministicRisk,Regret@50,0.4025822191610932,0.026469256548436418,0.3697162962456804,0.435448142076506,5
DeterministicRisk,NDCG@100,0.5639511006689499,0.026249013332210063,0.531358645825974,0.5965435555119258,5
DeterministicRisk,MAP@100,0.02033480572312134,0.013514207143228851,0.003554701249105903,0.03711491019713678,5
DeterministicRisk,Recall@100,0.10999999999999999,0.03391164991562634,0.06789312518007697,0.15210687481992302,5
DeterministicRisk,HitRate@100,1.0,0.0,1.0,1.0,5
DeterministicRisk,TopKOverlap@100,0.10999999999999999,0.03391164991562634,0.06789312518007697,0.15210687481992302,5
DeterministicRisk,Regret@100,0.36300222027115525,0.020811904166637408,0.3371608281333746,0.3888436124089359,5
DeterministicRisk,NDCG_full,0.9169059462621896,0.005640598476453113,0.9099022182056548,0.9239096743187244,5
DeterministicRisk,NDCG@10pct,0.564942454164749,0.02628521786312612,0.5323050454591627,0.5975798628703353,5
DeterministicRisk,P@10pct,0.1131113111311131,0.03767019769749657,0.06633758284491319,0.15988503941731302,5
DeterministicRisk,Spearman,-0.01651811008564728,0.016749504625396268,-0.03731536696674929,0.004279146795454727,5
DeterministicRisk,KendallTau,-0.011088971597575641,0.011335697749190611,-0.02516409938726509,0.0029861561921138095,5
DeterministicRisk,PairwiseAccuracy,0.49388,0.011836891483831392,0.47918255799388176,0.5085774420061182,5
Full,ParameterCount,14325.0,0.0,14325.0,14325.0,5
Full,ModelMemoryMB,0.054645538330078125,0.0,0.054645538330078125,0.054645538330078125,5
Full,TrainingTime_seconds,0.5929693000274711,0.1177433993693174,0.4467715600044616,0.7391670400504805,5
Full,Latency_ms_per_station,0.023162584233822392,0.0034758689234237724,0.01884672292913181,0.027478445538512974,5
Full,NDCG@10,0.5571967963856111,0.08404785276214675,0.4528376034845225,0.6615559892866998,5
Full,MAP@10,0.0,0.0,0.0,0.0,5
Full,Recall@10,0.0,0.0,0.0,0.0,5
Full,HitRate@10,0.0,0.0,0.0,0.0,5
Full,TopKOverlap@10,0.0,0.0,0.0,0.0,5
Full,Regret@10,0.4351333223283291,0.0768072907377394,0.3397644746197085,0.5305021700369497,5
Full,NDCG@25,0.5485868234982989,0.06755217186813224,0.46470972368916585,0.632463923307432,5
Full,MAP@25,0.004421052631578948,0.008756477618141231,-0.006451550377944087,0.015293655641101984,5
Full,Recall@25,0.016,0.021908902300206645,-0.011203495226330278,0.04320349522633028,5
