Method,Metric,Mean,Std,CI95_L,CI95_U,N
AHP_WeightedSum,NDCG@10,0.5103859705796672,0.024517885308809405,0.4799429950796295,0.5408289460797049,5
AHP_WeightedSum,MAP@10,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,Recall@10,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,HitRate@10,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,TopKOverlap@10,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,Regret@10,0.47737776994705194,0.005615010010737144,0.47040581416716587,0.484349725726938,5
AHP_WeightedSum,NDCG@25,0.5157614970533959,0.01142650899662978,0.5015736122071293,0.5299493818996626,5
AHP_WeightedSum,MAP@25,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,Recall@25,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,HitRate@25,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,TopKOverlap@25,0.0,0.0,0.0,0.0,5
AHP_WeightedSum,Regret@25,0.45279999697208406,0.007950462912994552,0.4429281934039645,0.4626718005402036,5
AHP_WeightedSum,NDCG@50,0.5621716859359389,0.009532584456337808,0.5503354190066674,0.5740079528652104,5
AHP_WeightedSum,MAP@50,0.005899918975034182,0.0012627597621910583,0.0043319956399411955,0.007467842310127169,5
AHP_WeightedSum,Recall@50,0.076,0.00894427190999916,0.06489421957920881,0.08710578042079119,5
AHP_WeightedSum,HitRate@50,1.0,0.0,1.0,1.0,5
AHP_WeightedSum,TopKOverlap@50,0.076,0.00894427190999916,0.06489421957920881,0.08710578042079119,5
AHP_WeightedSum,Regret@50,0.3800977764725685,0.0012720740580822979,0.37851828791159875,0.3816772650335382,5
AHP_WeightedSum,NDCG@100,0.5829376747657611,0.007673251022221196,0.5734100752222888,0.5924652743092333,5
AHP_WeightedSum,MAP@100,0.024366183471871316,0.007512823958265037,0.015037780438050903,0.03369458650569173,5
AHP_WeightedSum,Recall@100,0.14,0.022360679774997894,0.11223554894802203,0.167764451051978,5
AHP_WeightedSum,HitRate@100,1.0,0.0,1.0,1.0,5
AHP_WeightedSum,TopKOverlap@100,0.14,0.022360679774997894,0.11223554894802203,0.167764451051978,5
AHP_WeightedSum,Regret@100,0.3441688880026339,0.0008248604225983962,0.3431446885123503,0.3451930874929175,5
AHP_WeightedSum,NDCG_full,0.9193517623507308,0.002874536117446585,0.9157825543421609,0.9229209703593007,5
AHP_WeightedSum,NDCG@10pct,0.5843903755204501,0.006744469073006542,0.5760160110854992,0.5927647399554011,5
AHP_WeightedSum,P@10pct,0.136993699369937,0.025762079308728446,0.10500585297341872,0.16898154576645527,5
AHP_WeightedSum,Spearman,0.002116874542499423,0.01590303314339991,-0.017629349173901524,0.021863098258900367,5
AHP_WeightedSum,KendallTau,0.0013388096271730785,0.010138204917783267,-0.01124943442565078,0.013927053679996937,5
AHP_WeightedSum,PairwiseAccuracy,0.5034400000000001,0.013342713367227827,0.48687283317356117,0.5200071668264391,5
GradientBoostedRanker,NDCG@10,0.5986537799995868,0.12086161383902011,0.44858426533086937,0.7487232946683042,5
GradientBoostedRanker,MAP@10,0.0,0.0,0.0,0.0,5
GradientBoostedRanker,Recall@10,0.0,0.0,0.0,0.0,5
GradientBoostedRanker,HitRate@10,0.0,0.0,0.0,0.0,5
GradientBoostedRanker,TopKOverlap@10,0.0,0.0,0.0,0.0,5
GradientBoostedRanker,Regret@10,0.3877333252131939,0.08293038269301914,0.28476165466601133,0.4907049957603765,5
