Control,Comparator,Metric,MetricLabel,MeanDifference,PairedT,PairedP,CohenDz,NSeeds,HolmP
PRIME-EV,WS,NDCG_full,NDCG,-0.013272222629995056,-0.8510249068072224,0.44270223784195656,-0.3805899084332745,5,1.0
PRIME-EV,TOPSIS,NDCG_full,NDCG,-0.0008642267457847685,-0.05016982385225562,0.9623923500220883,-0.022436627310566788,5,1.0
PRIME-EV,VIKOR,NDCG_full,NDCG,-0.02442376106784223,-1.3016261243441614,0.26294672486556664,-0.5821048990646277,5,1.0
PRIME-EV,MO Weighted Sum,NDCG_full,NDCG,-0.005719170360176417,-0.36405017849136473,0.7342479108150894,-0.16280818926552468,5,1.0
PRIME-EV,Pareto Balanced,NDCG_full,NDCG,-0.01795009430285375,-1.189017304457208,0.30019334719971696,-0.5317447038379761,5,1.0
PRIME-EV,GB Ranker,NDCG_full,NDCG,-0.024686324638043343,-1.0938002638960747,0.33549305932159534,-0.48916234877576636,5,1.0
PRIME-EV,RF Ranker,NDCG_full,NDCG,-0.032267271108475715,-1.6929431715194732,0.1657200402366314,-0.7571072027123256,5,1.0
PRIME-EV,Ridge Ranker,NDCG_full,NDCG,-0.013699841401409608,-0.7746251817218234,0.48180233688457785,-0.346422912682625,5,1.0
PRIME-EV,Tree Ranker,NDCG_full,NDCG,-0.00580218601606961,-0.3046775257836728,0.7758059601630972,-0.13625593177374745,5,1.0
PRIME-EV,Risk+Usage Ranker,NDCG_full,NDCG,-0.03362185108448763,-2.2029324002268584,0.09235031894497633,-0.9851813193488058,5,1.0
PRIME-EV,Random,NDCG_full,NDCG,-0.017009215224073126,-0.9108173387603538,0.4139149369020657,-0.40732989691072097,5,1.0
PRIME-EV,WS,NDCG_at_10_percent,NDCG@10\%,-0.013721361828612232,-0.9455336287657342,0.3979259096192258,-0.42285549378644643,5,1.0
PRIME-EV,TOPSIS,NDCG_at_10_percent,NDCG@10\%,-0.0016080651192863504,-0.09452361931766388,0.9292389363766467,-0.04227224765472175,5,1.0
PRIME-EV,VIKOR,NDCG_at_10_percent,NDCG@10\%,-0.02455609031577368,-1.3490470804993564,0.248630708331144,-0.6033121953688384,5,1.0
PRIME-EV,MO Weighted Sum,NDCG_at_10_percent,NDCG@10\%,-0.0057048758070372685,-0.374043546894841,0.7273547439568613,-0.16727735948039896,5,1.0
PRIME-EV,Pareto Balanced,NDCG_at_10_percent,NDCG@10\%,-0.014125465946285342,-0.9999458199405166,0.37392422778703843,-0.447189365440752,5,1.0
PRIME-EV,GB Ranker,NDCG_at_10_percent,NDCG@10\%,-0.02352085542261708,-1.059058196758642,0.34928827046636485,-0.4736252240161342,5,1.0
PRIME-EV,RF Ranker,NDCG_at_10_percent,NDCG@10\%,-0.031920849324923006,-1.704678394667936,0.163456463836622,-0.7623553540505439,5,1.0
PRIME-EV,Ridge Ranker,NDCG_at_10_percent,NDCG@10\%,-0.011974736314529656,-0.6984401530141587,0.5233770478724677,-0.3123519320710027,5,1.0
PRIME-EV,Tree Ranker,NDCG_at_10_percent,NDCG@10\%,-0.0038965369142617947,-0.21329909391246646,0.841524095316454,-0.09539025470547731,5,1.0
PRIME-EV,Risk+Usage Ranker,NDCG_at_10_percent,NDCG@10\%,-0.032018922866207736,-2.3112476755075466,0.0819199401547226,-1.0336213830546501,5,0.9011193417019486
PRIME-EV,Random,NDCG_at_10_percent,NDCG@10\%,-0.015792651775265943,-0.9225906146366772,0.40843320159003055,-0.4125950659461845,5,1.0
PRIME-EV,WS,Precision_at_10_percent,P@10\%,-0.06352635263526353,-8.014773483641559,0.0013146384825117488,-3.584315666737066,5,0.014461023307629236
PRIME-EV,TOPSIS,Precision_at_10_percent,P@10\%,-0.07144714471447143,-7.546360050066809,0.0016519470429766274,-3.3748348109276205,5,0.016519470429766273
PRIME-EV,VIKOR,Precision_at_10_percent,P@10\%,-0.07936793679367936,-7.118974897406777,0.0020578200194392047,-3.183702360143229,5,0.018520380174952843
PRIME-EV,MO Weighted Sum,Precision_at_10_percent,P@10\%,-0.04566456645664565,-6.8719096213267,0.0023490335944889745,-3.073211409704268,5,0.018792268755911796
PRIME-EV,Pareto Balanced,Precision_at_10_percent,P@10\%,-0.023922392239223923,-3.5124324152942896,0.02461772386629694,-1.5708075293943606,5,0.1723240670640786
PRIME-EV,GB Ranker,Precision_at_10_percent,P@10\%,-0.03988398839883987,-2.7516054236095076,0.05128975548540164,-1.2305553548895927,5,0.2564487774270082
PRIME-EV,RF Ranker,Precision_at_10_percent,P@10\%,-0.041704170417041705,-2.459541433299796,0.06972580250098923,-1.0999403676671218,5,0.2564487774270082
PRIME-EV,Ridge Ranker,Precision_at_10_percent,P@10\%,-0.027882788278827886,-1.877458530571154,0.1336732880333764,-0.8396249798587935,5,0.2673465760667528
PRIME-EV,Tree Ranker,Precision_at_10_percent,P@10\%,-0.019961996199619962,-3.1243385328124544,0.03537804477543262,-1.3972466688181209,5,0.2122682686525957
PRIME-EV,Risk+Usage Ranker,Precision_at_10_percent,P@10\%,-0.01406140614061406,-1.3561008765790055,0.24656739622538715,-0.6064667488755418,5,0.2673465760667528
PRIME-EV,Random,Precision_at_10_percent,P@10\%,-0.0337033703370337,-2.7296443949803897,0.052462200436945175,-1.2207340843154877,5,0.2564487774270082
PRIME-EV,WS,Spearman,Spearman,-0.007420689272572581,-0.3103027808280913,0.7718263789247044,-0.13877162230776616,5,1.0
PRIME-EV,TOPSIS,Spearman,Spearman,-0.0042991432633832805,-0.1921411567747547,0.8569918574170318,-0.08592813756475914,5,1.0
PRIME-EV,VIKOR,Spearman,Spearman,-0.01423828418760692,-0.5082786090015844,0.6380072370085974,-0.22730910424731587,5,1.0
PRIME-EV,MO Weighted Sum,Spearman,Spearman,-0.008425138070223262,-0.3494839730388477,0.7443495876532025,-0.15629398415231344,5,1.0
PRIME-EV,Pareto Balanced,Spearman,Spearman,-0.014787698928060578,-0.5754773761064351,0.5957928048919836,-0.25736130649744043,5,1.0
PRIME-EV,GB Ranker,Spearman,Spearman,-0.012392176584477142,-0.6311413906776449,0.5622150542766705,-0.28225501059379315,5,1.0
PRIME-EV,RF Ranker,Spearman,Spearman,-0.02262086668086458,-1.2190414299606633,0.2897997551379456,-0.5451719009561184,5,1.0
PRIME-EV,Ridge Ranker,Spearman,Spearman,0.008789305324265981,0.36291244786283233,0.7350346281270173,0.16229938066042826,5,1.0
PRIME-EV,Tree Ranker,Spearman,Spearman,-0.00237419160529712,-0.10725826022029296,0.919748526708823,-0.04796735220018733,5,1.0
PRIME-EV,Risk+Usage Ranker,Spearman,Spearman,-0.006387570817697119,-0.32288436108127444,0.762956399815518,-0.1443982760498634,5,1.0
PRIME-EV,Random,Spearman,Spearman,0.004495757837850541,0.1732565953529063,0.8708638247990619,0.07748270495185453,5,1.0
PRIME-EV,WS,PairwiseAccuracy,Pairwise Acc.,-0.00843999999999998,-0.7451667906587801,0.49757340669698497,-0.3332487196976775,5,1.0
PRIME-EV,TOPSIS,PairwiseAccuracy,Pairwise Acc.,-0.0015999999999999903,-0.1356399873742906,0.8986580624865395,-0.060660046447225384,5,1.0
PRIME-EV,VIKOR,PairwiseAccuracy,Pairwise Acc.,-0.0045599999999999755,-0.36538555377327364,0.7333250291709879,-0.16340538724668896,5,1.0
PRIME-EV,MO Weighted Sum,PairwiseAccuracy,Pairwise Acc.,-0.00791999999999996,-0.7388188284079382,0.5010223410938554,-0.33040982467538055,5,1.0
PRIME-EV,Pareto Balanced,PairwiseAccuracy,Pairwise Acc.,-0.011759999999999982,-1.2604450928742839,0.2760245746929613,-0.5636881819145869,5,1.0
PRIME-EV,GB Ranker,PairwiseAccuracy,Pairwise Acc.,-0.004239999999999977,-0.5611411819366531,0.6046477555302948,-0.2509499655569867,5,1.0
PRIME-EV,RF Ranker,PairwiseAccuracy,Pairwise Acc.,-0.0067599999999999995,-0.7997138890731775,0.46867521825045455,-0.35764292370367023,5,1.0
PRIME-EV,Ridge Ranker,PairwiseAccuracy,Pairwise Acc.,0.006680000000000008,0.7058676838633378,0.5192111411782763,0.3156736248477509,5,1.0
PRIME-EV,Tree Ranker,PairwiseAccuracy,Pairwise Acc.,-0.004959999999999987,-0.6214114300934049,0.5679908370227511,-0.27790363993684236,5,1.0
PRIME-EV,Risk+Usage Ranker,PairwiseAccuracy,Pairwise Acc.,-0.0028000000000000026,-0.25379983293760994,0.8121620957368171,-0.11350273582531718,5,1.0
PRIME-EV,Random,PairwiseAccuracy,Pairwise Acc.,0.0005200000000000204,0.06174465738875922,0.9537282507344396,0.02761305023374006,5,1.0
